#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-06-22,0,44768125.8,34338701.4,44768125.8,-10429424.4,44768125.8,44768125.8
Total,2016-09-22,0.251366,45416738.42,34895210.57,64443120.4,0.0,45502285.82,45549571.82
Total,2016-12-22,0.5,45280917.51,34919041.24,72204542.6,0.0,45450710.99,46330899.99
Total,2017-03-22,0.7465,45835441.33,35352966.31,78655463.71,0.0,46099909.81,46845101.29
Total,2017-06-22,0.998555,43748165.91,34062261.44,81407804.45,0.0,44097813.61,47317119.46
Total,2017-09-22,1.25061,44389543.61,34574494.87,86538720.08,0.0,44847978.64,47701459.34
Total,2017-12-22,1.49993,44022517.9,34439160.99,90917777.38,0.0,44587296.56,48035148.31
Total,2018-03-22,1.7465,44564356.74,34843144.09,95551651.72,0.0,45247009.26,48356212.71
Total,2018-06-22,1.99856,42546891.51,33619709.89,96124865.46,0.0,43307192.49,48829980.8
Total,2018-09-24,2.25609,43041134.96,33976141.98,100733295.23,0.0,43944863.48,49095319.2
Total,2018-12-24,2.5054,42644998.02,33801348.03,101402102.4,0.0,43670600.38,49349527.27
Total,2019-03-22,2.7465,43091675.71,34101835.67,104456947.65,0.0,44255644.94,49575013.34
Total,2019-06-24,3.00403,41191607.14,32961182.13,103852510.85,0.0,42434899.98,50075308.78
Total,2019-09-23,3.25335,41531305.47,33157726.93,106564069.02,0.0,42930762.26,50251326.54
Total,2019-12-23,3.50266,41081006.7,32853937.78,108697640.55,0.0,42610093.8,50443617.78
Total,2020-03-23,3.75137,41372911.85,33011655.52,111307019.28,0.0,43059187.64,50564906.82
Total,2020-06-22,4,39412638.82,31937712.29,109368861.66,0.0,41158891.89,50992307.6
Total,2020-09-22,4.25137,39732284.22,32111157.95,111416623.0,0.0,41656959.32,51125207.47
Total,2020-12-22,4.5,39197799.81,31663211.49,112484208.59,0.0,41257970.41,51274833.08
Total,2021-03-22,4.7465,39484740.8,31822315.18,114392077.6,0.0,41721352.01,51401034.13
Total,2021-06-22,4.99856,37591703.33,30672739.06,110804488.1,0.0,39878753.11,51720370.29
Total,2021-09-22,5.25061,37815721.71,30748754.64,112774031.8,0.0,40294794.9,51818137.88
Total,2021-12-22,5.49993,37054559.43,30098620.7,110866491.6,0.0,39657802.2,51905808.69
Total,2022-03-22,5.7465,37224083.2,30125870.27,111151530.36,0.0,40012941.5,51949637.18
Total,2022-06-22,5.99856,35616629.25,29071250.46,109433939.1,0.0,38455720.57,52202180.91
Total,2022-09-22,6.25061,35773043.12,29090714.43,109824254.49,0.0,38808585.18,52274984.03
Total,2022-12-22,6.49993,35073701.45,28503492.54,108275446.04,0.0,38229439.57,52368982.02
Total,2023-03-22,6.7465,35352134.56,28632068.74,110321196.85,0.0,38712743.53,52436439.75
Total,2023-06-22,6.99856,33639115.76,27589351.11,106833604.41,0.0,37012647.94,52648590.2
Total,2023-09-22,7.25061,33775614.56,27638520.72,107722525.68,0.0,37355750.18,52697732.5
Total,2023-12-22,7.49993,33072964.03,27014702.1,105621326.9,0.0,36767106.85,52742815.99
Total,2024-03-22,7.74863,33181373.04,27063753.16,105465164.66,0.0,37077730.89,52798093.82
Total,2024-06-24,8.00546,31486898.7,26023881.51,101657237.71,0.0,35371602.84,52909784.54
Total,2024-09-23,8.2541,31663100.49,26075250.42,101967354.17,0.0,35758919.49,52958312.63
Total,2024-12-23,8.50273,30835228.54,25371132.82,101162650.8,0.0,35009375.63,52978071.15
Total,2025-03-24,8.75198,30979829.12,25387638.79,101185278.7,0.0,35360860.58,53008147.27
Total,2025-06-23,9.0013,29509184.4,24433565.33,99749557.63,0.0,33861578.63,53109407.27
Total,2025-09-22,9.25061,29615937.71,24432215.15,100471767.46,0.0,34173779.98,53142606.44
Total,2025-12-22,9.49993,28825427.57,23709727.96,97743048.22,0.0,33447392.06,53174145.38
Total,2026-03-23,9.74924,28908268.69,23689052.08,98279692.22,0.0,33730869.22,53203043.48
Total,2026-06-22,9.99856,27338710.74,22715274.48,93912580.01,0.0,32077633.96,53265116.56
Total,2026-09-22,10.2506,27310724.35,22537434.89,92991482.1,0.0,32232213.87,53280156.56
Total,2026-12-22,10.4999,26550752.5,21864346.41,90164497.26,0.0,31516698.57,53293189.14
Total,2027-03-22,10.7465,26577844.35,21761586.01,90475568.77,0.0,31729491.1,53313472.84
Total,2027-06-22,10.9986,24923607.87,20843130.64,86519369.11,0.0,29928785.58,53331626.76
Total,2027-09-22,11.2506,25109896.21,20824317.99,87688902.3,0.0,30328973.32,53356453.96
Total,2027-12-22,11.4999,24314056.63,20146138.87,83939913.06,0.0,29537747.61,53363991.69
Total,2028-03-22,11.7486,24370676.75,20010154.98,84201815.74,0.0,29777939.77,53378732.29
Total,2028-06-22,12,22709152.29,19206801.61,80426480.81,0.0,27910168.22,53382018.86
Total,2028-09-22,12.2514,22764560.3,19120521.64,82128246.99,0.0,28145151.69,53394154.6
Total,2028-12-22,12.5,22210141.59,18540720.6,80739412.42,0.0,27621823.71,53418578.97
Total,2029-03-22,12.7465,22114267.86,18312994.9,80280767.75,0.0,27663196.01,53427640.16
Total,2029-06-22,12.9986,20561516.45,17572886.35,74557102.96,0.0,25874384.67,53438712.86
Total,2029-09-24,13.2561,20566828.55,17417391.89,74567227.24,0.0,26038945.37,53444523.6
Total,2029-12-24,13.5054,19852034.08,16786153.92,72467010.15,0.0,25282368.83,53459610.95
Total,2030-03-22,13.7465,19806820.54,16607939.26,72859727.35,0.0,25368802.13,53463198.2
Total,2030-06-24,14.004,18408236.65,15762243.48,68249796.82,0.0,23721308.42,53470873.1
Total,2030-09-23,14.2533,18379498.81,15605362.85,67937454.6,0.0,23824124.24,53475967.93
Total,2030-12-23,14.5027,17613558.39,14892105.39,64928449.2,0.0,22966091.21,53483273.45
Total,2031-03-24,14.752,17706048.22,14856545.56,65256166.0,0.0,23223011.15,53483988.02
Total,2031-06-23,15.0013,16368021.62,14032196.49,60485289.49,0.0,21594835.76,53490107.9
Total,2031-09-22,15.2506,16303813.72,13864505.0,59979992.26,0.0,21639092.48,53497221.87
Total,2031-12-22,15.4999,15691538.16,13315038.57,57647457.04,0.0,20951337.55,53502982.57
Total,2032-03-22,15.7486,15557173.72,13074397.53,57716336.9,0.0,20896502.69,53503134.44
Total,2032-06-22,16,14260506.3,12301903.67,53252729.49,0.0,19270934.72,53511619.36
Total,2032-09-22,16.2514,14299026.55,12197907.97,54106043.21,0.0,19440131.95,53511619.36
Total,2032-12-22,16.5,13685398.06,11672892.6,52258051.46,0.0,18717454.8,53517265.46
Total,2033-03-22,16.7465,13645899.74,11521127.74,52200169.12,0.0,18774118.0,53517265.46
Total,2033-06-22,16.9986,12446790.85,10873619.35,47110882.37,0.0,17228186.46,53518602.16
Total,2033-09-22,17.2506,12360065.17,10690909.35,47875143.12,0.0,17211871.34,53519573.72
Total,2033-12-22,17.4999,11697482.52,10173226.97,45125586.84,0.0,16386875.07,53524976.92
Total,2034-03-22,17.7465,11673348.48,10062212.39,45498753.89,0.0,16450051.84,53524976.92
Total,2034-06-22,17.9986,10419685.56,9315050.47,40985329.06,0.0,14772410.3,53525389.64
Total,2034-09-22,18.2506,10479573.27,9249235.7,40890939.44,0.0,14947385.25,53525612.5
Total,2034-12-22,18.4999,9877722.0,8772994.65,38426904.76,0.0,14173426.36,53533407.08
Total,2035-03-22,18.7465,9838852.83,8647145.26,38854616.41,0.0,14201386.75,53533407.08
Total,2035-06-22,18.9986,8629148.99,7939222.25,34698488.75,0.0,12530813.47,53534655.42
Total,2035-09-24,19.2561,8632133.74,7887251.7,34816561.43,0.0,12612799.92,53534759.25
Total,2035-12-24,19.5054,8035711.78,7344113.54,32169269.6,0.0,11811743.35,53534867.29
Total,2036-03-24,19.7541,8010370.39,7216312.13,32076714.67,0.0,11845102.39,53535504.48
Total,2036-06-23,20.0027,6963427.01,6569143.7,27969313.59,0.0,10358709.41,53538647.69
