#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2015-12-31,0,39596741.93,32905032.26,39596741.93,-6691709.67,39596741.93,39596741.93
Total,2016-03-31,0.248641,40268040.04,33477325.22,56541503.97,0.0,40346387.47,40395327.47
Total,2016-06-30,0.497275,38689036.54,32614109.37,62314340.3,0.0,38839779.18,41258963.18
Total,2016-09-30,0.748641,39268528.66,33059716.22,67891926.83,0.0,39513862.86,41666397.86
Total,2016-12-30,0.997275,39083297.92,33067638.31,71627427.7,0.0,39434092.88,42062888.79
Total,2017-03-31,1.24658,39701997.11,33538126.86,75890907.1,0.0,40183215.33,42496597.94
Total,2017-06-30,1.49589,38096240.72,32693503.25,78405931.62,0.0,38692168.31,43096184.07
Total,2017-09-29,1.74521,38615991.82,33046646.57,82296021.15,0.0,39357205.79,43344438.28
Total,2017-12-29,1.99452,38306405.32,32915167.94,83740562.64,0.0,39178280.69,43627789.34
Total,2018-03-29,2.2411,38729411.8,33159365.03,87427351.64,0.0,39795893.13,43890501.69
Total,2018-06-29,2.49315,37243755.25,32376871.55,86997449.53,0.0,38456029.28,44452324.26
Total,2018-09-28,2.74247,37660883.42,32598728.43,89751459.68,0.0,39074426.48,44639859.36
Total,2018-12-31,3,37307716.42,32371246.77,90106921.58,0.0,38900951.15,44901488.38
Total,2019-03-29,3.2411,37617448.94,32496276.58,92574125.63,0.0,39424132.97,45099388.96
Total,2019-06-28,3.49041,36128676.61,31670552.0,92804882.04,0.0,38065238.69,45556115.88
Total,2019-09-30,3.74795,36388918.49,31754211.29,95339916.07,0.0,38550068.16,45686381.84
Total,2019-12-31,4,35963478.55,31382514.47,94658413.6,0.0,38304200.9,45876872.2
Total,2020-03-31,4.24864,36232604.08,31444857.99,96595820.15,0.0,38814584.57,46017072.29
Total,2020-06-30,4.49728,34667629.83,30625315.83,95473262.25,0.0,37354623.7,46348916.75
Total,2020-09-30,4.74864,34924031.6,30709422.68,97213626.71,0.0,37852703.43,46484871.72
Total,2020-12-31,5.00001,34345077.24,30129080.11,95929732.69,0.0,37444668.95,46642618.97
Total,2021-03-31,5.24658,34513107.01,30104488.57,97148843.2,0.0,37859424.39,46740846.69
Total,2021-06-30,5.49589,32959896.39,29099178.58,94828535.72,0.0,36381432.61,46968989.19
Total,2021-09-30,5.74795,33088632.78,29047641.54,95090546.0,0.0,36754157.11,47034273.53
Total,2021-12-30,5.99726,32510540.78,28455559.95,94565545.48,0.0,36337569.16,47134828.88
Total,2022-03-31,6.24658,32634146.49,28405413.38,94831318.66,0.0,36718016.25,47201427.38
Total,2022-06-30,6.49589,31288984.42,27501234.65,91830634.3,0.0,35439329.82,47419562.28
Total,2022-09-30,6.74795,31509226.52,27532514.87,93947375.33,0.0,35929461.73,47536279.1
Total,2022-12-30,6.99726,30729360.31,26800167.17,91905234.2,0.0,35273923.6,47623319.44
Total,2023-03-31,7.24658,30837331.47,26720247.05,92630590.75,0.0,35635442.79,47676544.34
Total,2023-06-30,7.49589,29532708.28,25887736.09,89751555.6,0.0,34357006.74,47827087.86
Total,2023-09-29,7.74521,29592477.34,25877853.59,89961800.91,0.0,34657714.77,47908511.41
Total,2023-12-29,7.99452,28844911.19,25155290.03,87295650.5,0.0,34009028.91,47970811.95
Total,2024-03-28,8.24044,28952073.74,25157538.41,87636898.4,0.0,34371444.01,48016430.71
Total,2024-06-28,8.49181,27537890.47,24242352.07,85283827.62,0.0,32924461.74,48097598.93
Total,2024-09-30,8.74864,27640124.32,24200979.6,85983780.5,0.0,33286217.96,48146698.72
Total,2024-12-31,9.00001,26964674.05,23565805.08,85577906.25,0.0,32703108.46,48200939.48
Total,2025-03-31,9.24658,27032490.43,23507750.21,86201933.44,0.0,33018010.99,48263628.24
Total,2025-06-30,9.49589,25728024.96,22646019.59,82913229.93,0.0,31650542.06,48352074.25
Total,2025-09-30,9.74795,25757444.45,22556717.25,83357312.89,0.0,31916948.08,48385133.35
Total,2025-12-31,10,24984865.05,21794470.02,81118691.79,0.0,31184565.87,48423144.37
Total,2026-03-31,10.2466,24926444.94,21616346.85,80444324.41,0.0,31337879.72,48440228.53
Total,2026-06-30,10.4959,23617907.34,20794518.18,76523022.43,0.0,29911387.85,48483284.44
Total,2026-09-30,10.7479,23610431.86,20629293.3,76759558.76,0.0,30124493.23,48508112.28
Total,2026-12-31,11,22783166.01,19848064.9,74755426.63,0.0,29285381.77,48533485.71
Total,2027-03-31,11.2466,22893336.45,19785553.25,75216255.44,0.0,29641275.89,48557461.84
Total,2027-06-30,11.4959,21555240.3,19084369.96,70883923.6,0.0,28114239.36,48596503.11
Total,2027-09-30,11.7479,21570273.9,18884658.97,71126184.19,0.0,28343282.21,48614690.11
Total,2027-12-30,11.9973,20756771.06,18142825.74,69218387.28,0.0,27475152.73,48615977.1
Total,2028-03-31,12.2486,20813635.23,18017200.7,70873937.55,0.0,27758398.67,48632212.0
Total,2028-06-30,12.4973,19631373.27,17487193.99,67464833.47,0.0,26377350.5,48642130.28
Total,2028-09-29,12.7459,19523612.11,17214586.9,67497681.56,0.0,26428645.49,48654534.36
Total,2028-12-29,12.9945,18783496.19,16445404.2,64209407.53,0.0,25616805.53,48669558.11
Total,2029-03-29,13.2411,18762513.68,16236012.08,64065352.73,0.0,25777331.77,48677996.17
Total,2029-06-29,13.4932,17544932.03,15700844.15,60280465.14,0.0,24286666.7,48692028.3
Total,2029-09-28,13.7425,17475678.03,15468884.68,61090753.98,0.0,24371611.85,48700927.13
Total,2029-12-31,14,16757272.2,14795343.06,58390191.08,0.0,23550175.57,48713193.71
Total,2030-03-29,14.2411,16729557.35,14617847.3,58082706.21,0.0,23681149.94,48726682.19
Total,2030-06-28,14.4904,15572750.92,13889147.27,54251288.09,0.0,22208409.79,48735435.69
Total,2030-09-30,14.7479,15632641.07,13810020.39,54695928.17,0.0,22465967.01,48745555.73
Total,2030-12-31,15,14987510.34,13169283.97,52103750.33,0.0,21701608.83,48752293.99
Total,2031-03-31,15.2466,14926635.98,12986663.22,51693408.82,0.0,21771239.1,48758296.96
Total,2031-06-30,15.4959,13851886.19,12348391.92,48649221.45,0.0,20352671.15,48763340.04
Total,2031-09-30,15.7479,13725918.18,12102058.75,48821516.22,0.0,20317963.95,48770022.35
Total,2031-12-31,16,13157231.82,11558440.75,46434972.88,0.0,19621388.93,48777964.72
Total,2032-03-31,16.2486,13182902.39,11437433.5,47197169.73,0.0,19804657.74,48786363.62
Total,2032-06-30,16.4973,12144298.87,10831130.11,43987460.56,0.0,18378926.88,48792258.12
Total,2032-09-30,16.7486,12094731.14,10659380.43,43879227.2,0.0,18440382.98,48792258.12
Total,2032-12-30,16.9973,11577539.62,10178806.7,41469242.9,0.0,17782029.3,48798302.62
Total,2033-03-31,17.2466,11510377.39,10006043.29,42274326.55,0.0,17809259.56,48804872.22
Total,2033-06-30,17.4959,10489967.94,9429873.11,38404246.86,0.0,16350149.89,48804872.22
Total,2033-09-30,17.7479,10441644.73,9282750.92,38764679.46,0.0,16396190.92,48806219.82
Total,2033-12-30,17.9973,9816860.97,8764278.38,36456855.15,0.0,15528794.79,48810949.15
Total,2034-03-31,18.2466,9874489.43,8691709.84,36724033.33,0.0,15735158.5,48818881.92
Total,2034-06-30,18.4959,8915041.99,8139030.87,33276052.0,0.0,14311031.65,48819850.99
Total,2034-09-29,18.7452,8865549.52,7992343.57,33310262.78,0.0,14336542.24,48821098.97
Total,2034-12-29,18.9945,8295732.1,7515457.74,31878043.74,0.0,13514027.81,48829592.48
Total,2035-03-30,19.2438,8311491.39,7477177.44,32185587.87,0.0,13639555.19,48837884.08
Total,2035-06-29,19.4932,7268818.4,6810560.58,27746269.19,0.0,12016458.73,48838589.15
Total,2035-09-28,19.7425,7213336.91,6645003.02,27986417.28,0.0,12012681.15,48838598.85
Total,2035-12-31,20,6806464.02,6238175.96,26246054.49,0.0,11421461.63,48842412.08
