#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,2662898.88345,USD,8576678.88761
A,,,,,,-1420716.69918,USD,4348881.24628
C,,,,,,-122029.748512,USD,4296000.13885
B,,,,,,-616905.560683,USD,3027959.22174
AAA,,,,,,1199618.89707,USD,8457927.78836
BB,,,,,,1242062.22224,USD,7479864.88827
CC,,,,,,1585808.00857,USD,6636335.42151
BBB,,,,,,4001738.38907,USD,12447193.3265
NR,,,,,,245268.599596,USD,3912416.01873
CCC,,,,,,-2140819.77601,USD,4737327.84013
