#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,186971.477,270850.4969,-322531.231,-469139.1687,0.0,0.0,186971.477,270850.4969,None,270850.4969,2043401.57
,AA,400467.18,238783.51925,-683824.388,-419591.44063,0.0,0.0,400467.18,238783.51925,None,238783.51925,4361469.88
,C,214385.62,196710.584,-358460.022,-338003.63,0.0,0.0,214385.62,196710.584,None,196710.584,2444891.14
,B,143385.563,152700.283,-235107.265,-253907.404,0.0,0.0,143385.563,152700.283,None,152700.283,1589123.24
,AAA,310727.2,295714.54292,-541206.42,-497463.46112,0.0,0.0,310727.2,295714.54292,None,295714.54292,3418361.7
,BB,353151.337,250874.737,-603937.18,-435583.843,0.0,0.0,353151.337,250874.737,None,250874.737,3826677.42
,CC,251667.842,136009.431,-431813.06,-232129.568,0.0,0.0,251667.842,136009.431,None,136009.431,2722888.61
,BBB,516023.023,339327.133,-886464.995,-573370.225,0.0,0.0,516023.023,339327.133,None,339327.133,5586376.19
,NR,138353.5582,145256.0547,-236700.0608,-243282.8627,0.0,0.0,138353.5582,145256.0547,None,145256.0547,1496922.149
,CCC,199856.81054,338738.645,-349166.60015,-580555.83,0.0,0.0,199856.81054,338738.645,None,338738.645,2144148.3888
