#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CSA_1,2509.28,67598.8,-3761.43,-120333,0,0,2509.28,67598.8,None,29678,38225.1
Trade_9765,CSA_1,418.691,24202.1,-501.089,-41535.6,n/a,n/a,0,0,None,5460.16,5852.04
Trade_7634,CSA_1,12.9355,22801.8,-15.305,-44362.8,n/a,n/a,0,0,None,208.951,253.471
Trade_1112,CSA_1,3739.06,3233.17,-8175.05,-6841.59,n/a,n/a,0,0,None,74976.9,109990
Trade_1935,CSA_1,8490.07,3767.66,-14733.5,-5956.93,n/a,n/a,0,0,None,90933.7,141601
Trade_3609,CSA_1,6688.17,30433.7,-10155.2,-51455.2,n/a,n/a,0,0,None,77033.1,98045.6
,CSA_10,839.458,53647.1,-1095.42,-90467.3,0,0,839.458,53647.1,None,10308.8,12364.4
Trade_5367,CSA_10,0.347163,84.2068,-0.569374,-171.49,n/a,n/a,0,0,None,6.38803,7.90146
Trade_8951,CSA_10,28.3448,39202.7,-30.5274,-66846.7,n/a,n/a,0,0,None,375.468,671.217
Trade_8675,CSA_10,1701.1,987.042,-3586.74,-2138.01,n/a,n/a,0,0,None,35078.9,66899.4
Trade_1104,CSA_10,2051.84,17659.5,-2959.77,-29595.4,n/a,n/a,0,0,None,24205.2,28020.4
Trade_5410,CSA_10,1367.77,23.603,-2862.09,-59.9921,n/a,n/a,0,0,None,60401.2,116499
,CSA_100,891.141,52183.4,-1059.28,-91297.5,0,0,891.141,52183.4,None,11450.3,12096.1
Trade_5432,CSA_100,2210.22,11124.1,-3026.45,-18400.1,n/a,n/a,0,0,None,26758.9,29041.5
Trade_1927,CSA_100,1339.8,40521.2,-1690.94,-69540.6,n/a,n/a,0,0,None,16843.2,17904.9
Trade_4234,CSA_100,1705.68,0.886458,-3418.59,-2.34301,n/a,n/a,0,0,None,99418.6,177497
Trade_2958,CSA_100,150.222,4461.28,-364.813,-9559.93,n/a,n/a,0,0,None,4395.62,8301.46
Trade_3935,CSA_100,9.7194,600.46,-24.5531,-1260.53,n/a,n/a,0,0,None,378.803,477.962
,CSA_101,706.297,46196.3,-972.378,-83649.9,0,0,706.297,46196.3,None,8503.48,11205.2
Trade_9149,CSA_101,11.2538,1.45795,-19.9974,-1.79312,n/a,n/a,0,0,None,119.643,236.355
Trade_9792,CSA_101,1986.4,18580.1,-3351.91,-34954.1,n/a,n/a,0,0,None,27510,34148.8
Trade_8867,CSA_101,426.728,23996.9,-496.465,-40550,n/a,n/a,0,0,None,5672.44,5900.52
Trade_2060,CSA_101,503.437,5121.42,-1040.71,-10699.3,n/a,n/a,0,0,None,9331.42,12146.5
Trade_5582,CSA_101,555.32,1273.29,-931.881,-2313.22,n/a,n/a,0,0,None,6895.29,10164.8
,CSA_102,1729.01,51359.7,-2192.68,-86632.1,0,0,1729.01,51359.7,None,21716.2,22897.7
Trade_4808,CSA_102,7.02182,347.566,-7.8949,-601.948,n/a,n/a,0,0,None,94.7411,117.319
Trade_8542,CSA_102,3463.52,31663.8,-4892.02,-52173.9,n/a,n/a,0,0,None,41417.6,45751.8
Trade_8068,CSA_102,402.871,22672.8,-486.039,-39204.9,n/a,n/a,0,0,None,5223.6,5677.81
Trade_7595,CSA_102,1084.39,288.013,-1838.07,-451.21,n/a,n/a,0,0,None,11753.7,15830.4
Trade_6778,CSA_102,416.839,33.1162,-847.49,-78.9336,n/a,n/a,0,0,None,23546.6,33442.1
,CSA_103,24846.7,645.312,-48050.3,-722.305,0,0,24846.7,645.312,None,248364,708854
Trade_2367,CSA_103,0.331951,695.442,-0.54355,-1473.29,n/a,n/a,0,0,None,6.96508,9.05472
Trade_5178,CSA_103,25530.1,17.5987,-48861.3,-19.8579,n/a,n/a,0,0,None,334768,570284
Trade_8847,CSA_103,3113.98,86.5101,-6656.69,-216.426,n/a,n/a,0,0,None,111311,218442
Trade_7253,CSA_103,1358.3,4881.46,-2082.53,-8340.94,n/a,n/a,0,0,None,15583,18268.2
Trade_3284,CSA_103,22.0602,142.336,-26.9418,-249.433,n/a,n/a,0,0,None,281.58,292.948
,CSA_104,13301.2,699.725,-22641.5,-852.414,0,0,13301.2,699.725,None,144703,206899
Trade_4918,CSA_104,2063.91,327.883,-4349.74,-699.716,n/a,n/a,0,0,None,42453.9,84195.9
Trade_4418,CSA_104,22.9781,7.69417,-39.6382,-10.07,n/a,n/a,0,0,None,249.123,464.622
Trade_7609,CSA_104,336.579,2537.21,-649.285,-5031.51,n/a,n/a,0,0,None,5471.25,8515.09
Trade_8691,CSA_104,13819.5,781.678,-23523.5,-1055.88,n/a,n/a,0,0,None,150153,194974
Trade_7030,CSA_104,13.6336,0.695201,-24.9335,-0.820894,n/a,n/a,0,0,None,141.892,299.07
,CSA_105,5518.17,51758.7,-7386.06,-94938.6,0,0,5518.17,51758.7,None,64975.4,112544
Trade_7715,CSA_105,3402.05,35622.3,-4833.8,-62511.9,n/a,n/a,0,0,None,39945,54881.7
Trade_1961,CSA_105,1311.23,2287.2,-2142.3,-3865.1,n/a,n/a,0,0,None,14475,19980
Trade_3729,CSA_105,1105.62,8.63442,-2304.66,-21.9088,n/a,n/a,0,0,None,49118.8,86450.9
Trade_2946,CSA_105,8167.15,10755.8,-13775,-19597.1,n/a,n/a,0,0,None,106635,142962
Trade_3855,CSA_105,451.673,12004.3,-940.285,-25552.5,n/a,n/a,0,0,None,9297.57,11031.3
,CSA_106,872.939,51922.4,-1413.83,-88761.5,0,0,872.939,51922.4,None,9873.86,14836.5
Trade_3474,CSA_106,0.00149142,3.49838,-0.00396161,-6.83916,n/a,n/a,0,0,None,0.0521441,0.0648137
Trade_7679,CSA_106,759.907,47011.6,-897.585,-80277.9,n/a,n/a,0,0,None,9801,10932
