#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,189717.731,293100.4359,-322467.142,-497738.5287,0.0,0.0,189717.731,293100.4359,None,293100.4359,2006664.8
,AA,453346.945,231229.4211,-767839.193,-395289.3315,0.0,0.0,453346.945,231229.4211,None,231229.4211,4721144.22
,C,270948.633,221070.22,-454890.031,-375456.55,0.0,0.0,270948.633,221070.22,None,221070.22,2923615.41
,B,149259.065,205513.009,-249021.241,-345529.87,0.0,0.0,149259.065,205513.009,None,205513.009,1579659.513
,AAA,337397.91,285087.80304,-572944.53,-477917.07832,0.0,0.0,337397.91,285087.80304,None,285087.80304,3577143.0
,BB,384189.079,250030.093,-650546.281,-422257.94,0.0,0.0,384189.079,250030.093,None,250030.093,3986133.11
,CC,287118.209,157618.706,-485311.083,-267161.554,0.0,0.0,287118.209,157618.706,None,157618.706,2986796.84
,BBB,632037.614,333720.682,-1071137.334,-560584.387,0.0,0.0,632037.614,333720.682,None,333720.682,6564656.53
,NR,161254.933,126523.542,-273759.382,-211097.588,0.0,0.0,161254.933,126523.542,None,126523.542,1666713.24
,CCC,196614.55765,391465.709,-335283.0727,-662291.31,0.0,0.0,196614.55765,391465.709,None,391465.709,2031294.449
