#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CSA_1,2594.21,75024.2,-4233.55,-129189,0,0,2594.21,75024.2,None,28745.3,37871
Trade_9765,CSA_1,690.119,22072.8,-1086.74,-37256.1,n/a,n/a,0,0,None,7942.34,8343.57
Trade_7634,CSA_1,28.5723,21170.2,-44.9816,-37791.6,n/a,n/a,0,0,None,424.163,649.709
Trade_1112,CSA_1,2167.85,5402.12,-4195.2,-10059.4,n/a,n/a,0,0,None,44119.3,62698.5
Trade_1935,CSA_1,12111.1,2860.08,-20693.9,-4632.96,n/a,n/a,0,0,None,123782,237431
Trade_3609,CSA_1,4811.89,40734.3,-7715.1,-68951.5,n/a,n/a,0,0,None,53150.7,68080.4
,CSA_10,1801.62,46651.6,-2846.42,-78011.5,0,0,1801.62,46651.6,None,20148,24554
Trade_5367,CSA_10,1.1259,72.2977,-2.00336,-132.594,n/a,n/a,0,0,None,19.9347,24.0982
Trade_8951,CSA_10,84.9851,37485.3,-122.263,-63196.5,n/a,n/a,0,0,None,1030.68,1475.95
Trade_8675,CSA_10,2671.82,622.654,-4964.6,-1206.41,n/a,n/a,0,0,None,55834,111498
Trade_1104,CSA_10,3580.85,14611.1,-5817.37,-24356.2,n/a,n/a,0,0,None,39042.9,46379.5
Trade_5410,CSA_10,1609.67,7.10298,-2834.62,-14.2947,n/a,n/a,0,0,None,75995,147755
,CSA_100,1224.04,53872.6,-1829.46,-91692.5,0,0,1224.04,53872.6,None,14498.7,15339.5
Trade_5432,CSA_100,1485.15,17580.1,-2264.12,-29425.4,n/a,n/a,0,0,None,17331.7,18434.6
Trade_1927,CSA_100,2300.52,34655.6,-3584.13,-58444.4,n/a,n/a,0,0,None,26373.7,28565.7
Trade_4234,CSA_100,1730.95,0.201315,-2939.37,-0.399408,n/a,n/a,0,0,None,110754,204139
Trade_2958,CSA_100,63.5498,5501.29,-129.625,-10055.6,n/a,n/a,0,0,None,1909.83,3877.66
Trade_3935,CSA_100,16.6253,508.224,-32.6793,-887.232,n/a,n/a,0,0,None,665.225,804.516
,CSA_101,1388.91,37938.3,-2343.42,-65222.3,0,0,1388.91,37938.3,None,14764,22072
Trade_9149,CSA_101,19.2914,0.648024,-32.9007,-0.962826,n/a,n/a,0,0,None,198.638,361.543
Trade_9792,CSA_101,3430.43,13940.3,-5983.43,-24502.7,n/a,n/a,0,0,None,45085.5,58609.1
Trade_8867,CSA_101,656.777,22409.4,-1021.09,-37579.4,n/a,n/a,0,0,None,7726.94,7984.69
Trade_2060,CSA_101,1068.14,3745.1,-2021.13,-6991.94,n/a,n/a,0,0,None,19560,27080.5
Trade_5582,CSA_101,361.693,1990.2,-609.027,-3471.46,n/a,n/a,0,0,None,4372.26,6675.65
,CSA_102,3496.55,43512,-5466.81,-72826.5,0,0,3496.55,43512,None,40032.5,42846.1
Trade_4808,CSA_102,2.36151,536.16,-3.45969,-905.065,n/a,n/a,0,0,None,30.0029,38.1649
Trade_8542,CSA_102,6206.19,26514.6,-10003.2,-43915.4,n/a,n/a,0,0,None,68564.1,76326.5
Trade_8068,CSA_102,671.499,20525.4,-1061.23,-34749.5,n/a,n/a,0,0,None,7681.55,8240.78
Trade_7595,CSA_102,853.559,477.178,-1428.22,-796.046,n/a,n/a,0,0,None,8919.84,11860.7
Trade_6778,CSA_102,345.958,41.7263,-586.146,-75.8886,n/a,n/a,0,0,None,21009.9,30054
,CSA_103,25847.8,629.155,-45802.2,-942.646,0,0,25847.8,629.155,None,252087,781878
