#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3959343.45211,USD,9375751.43195
A,,,,,,-1547759.9597,USD,4725690.46945
C,,,,,,164927.237271,USD,5257839.306
B,,,,,,-1354499.76804,USD,3220539.04291
AAA,,,,,,1697858.58959,USD,9183538.82759
BB,,,,,,2164788.59993,USD,8174783.21765
CC,,,,,,1528932.91454,USD,7961764.67306
BBB,,,,,,6346244.99752,USD,14894303.4994
NR,,,,,,1099046.05088,USD,4476492.79365
CCC,,,,,,-3042752.05103,USD,4720772.08902
