#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-03-31,0,47159127.7,36060046.93,47159127.7,-11099080.77,47159127.7,47159127.7
Total,2016-06-30,0.248634,45067532.43,34738020.63,64320415.0,0.0,45148773.1,47843799.71
Total,2016-09-30,0.5,45680868.12,35224774.87,72809068.44,0.0,45846613.73,48319640.73
Total,2016-12-30,0.748634,45339600.94,35135955.47,78383740.5,0.0,45592581.07,48719315.07
Total,2017-03-31,0.997934,45931988.0,35588218.11,83985062.79,0.0,46285439.66,49099860.66
Total,2017-06-30,1.24725,43943287.93,34412770.23,86149688.34,0.0,44379949.75,49617174.2
Total,2017-09-29,1.49656,44471412.93,34809567.32,92002964.54,0.0,45018861.75,49894274.49
Total,2017-12-29,1.74588,44115120.73,34692141.09,95043719.14,0.0,44763411.83,50209728.22
Total,2018-03-29,1.99245,44610049.4,35047315.41,98740491.34,0.0,45371096.6,50477440.47
Total,2018-06-29,2.24451,42612533.55,33846491.32,99808907.99,0.0,43469813.44,50980854.07
Total,2018-09-28,2.49382,43121275.37,34209303.42,102262619.08,0.0,44121464.73,51218749.75
Total,2018-12-31,2.75136,42657489.08,33971099.4,103373340.75,0.0,43782938.22,51430667.85
Total,2019-03-29,2.99245,43105098.38,34252625.83,105880332.79,0.0,44371411.95,51629916.11
Total,2019-06-28,3.24177,41114084.15,33033786.88,105327146.18,0.0,42472086.09,52084681.24
Total,2019-09-30,3.4993,41512918.6,33289643.38,109183340.77,0.0,43042933.81,52269533.13
Total,2019-12-31,3.75136,40935650.64,32877393.75,109802870.16,0.0,42598254.02,52413046.07
Total,2020-03-31,4,41306279.02,33101184.48,111924191.41,0.0,43138088.15,52560077.47
Total,2020-06-30,4.24863,39350566.45,31998736.03,110329485.33,0.0,41266309.57,52934923.81
Total,2020-09-30,4.5,39657838.83,32169082.47,113422252.35,0.0,41764826.52,53061790.99
Total,2020-12-31,4.75137,39082201.27,31696816.43,112902919.83,0.0,41333060.43,53211740.19
Total,2021-03-31,4.99793,39271532.96,31776096.84,113725912.41,0.0,41705524.94,53308752.5
Total,2021-06-30,5.24725,37462563.53,30635524.87,111417812.19,0.0,39972736.18,53599088.59
Total,2021-09-30,5.4993,37566050.79,30611448.67,111948214.14,0.0,40276181.81,53673248.66
Total,2021-12-30,5.74862,36850645.69,29992183.25,109525513.16,0.0,39697381.65,53747010.86
Total,2022-03-31,5.99793,37156108.55,30143921.97,111985963.12,0.0,40217101.64,53818592.49
Total,2022-06-30,6.24725,35431409.12,28974666.92,108296319.29,0.0,38548254.47,54049281.94
Total,2022-09-30,6.4993,35637075.1,29025785.78,109750624.64,0.0,38975027.86,54121090.55
Total,2022-12-30,6.74862,34974401.59,28472854.21,108713770.06,0.0,38448422.3,54211498.71
Total,2023-03-31,6.99793,35066847.84,28448021.68,109222352.74,0.0,38749724.86,54274639.31
Total,2023-06-30,7.24725,33455649.81,27424126.11,106059397.56,0.0,37170232.23,54462258.8
Total,2023-09-29,7.49656,33591294.26,27481057.52,106606000.3,0.0,37524210.88,54526708.54
Total,2023-12-29,7.74588,32824216.68,26811521.34,103895203.0,0.0,36867067.86,54577087.02
Total,2024-03-28,7.9918,32888400.62,26830830.92,103739120.83,0.0,37138150.93,54613253.46
Total,2024-06-28,8.24317,31307879.21,25838837.35,99833968.7,0.0,35557741.62,54717717.97
Total,2024-09-30,8.5,31363403.31,25785789.58,102179186.74,0.0,35832071.71,54751194.21
Total,2024-12-31,8.75137,30612885.89,25137683.23,99558746.7,0.0,35177579.79,54780844.73
Total,2025-03-31,8.99793,30805095.97,25206271.43,101946968.46,0.0,35599388.75,54833009.56
Total,2025-06-30,9.24725,29263881.84,24187488.74,98650085.27,0.0,34015414.22,54928864.43
Total,2025-09-30,9.4993,29343124.45,24169701.22,98809733.19,0.0,34308580.11,54966843.73
Total,2025-12-31,9.75136,28529138.16,23425285.53,96449404.34,0.0,33553532.15,54990453.53
Total,2026-03-31,9.99793,28622607.98,23413683.14,96504800.67,0.0,33857591.19,55023273.43
Total,2026-06-30,10.2472,26963918.86,22337074.63,91156543.3,0.0,32088683.74,55065003.87
Total,2026-09-30,10.4993,27046092.04,22267515.71,90915952.39,0.0,32384078.11,55084713.86
Total,2026-12-31,10.7514,26216516.51,21542578.4,88802869.48,0.0,31583455.42,55096507.46
Total,2027-03-31,10.9979,26197963.15,21389245.87,89126049.49,0.0,31750631.06,55102866.67
Total,2027-06-30,11.2472,24748783.76,20647973.51,85717330.18,0.0,30176407.85,55138029.37
Total,2027-09-30,11.4993,24785135.94,20504505.65,85120755.49,0.0,30406235.88,55158574.33
Total,2027-12-30,11.7486,23999247.68,19819675.04,82334651.94,0.0,29620865.12,55163933.63
Total,2028-03-31,12,23969305.39,19638096.74,83375978.19,0.0,29765529.17,55169661.33
Total,2028-06-30,12.2486,22426068.05,18941517.72,79991686.22,0.0,28023672.26,55180627.69
Total,2028-09-29,12.4973,22623543.16,18904644.63,81400164.22,0.0,28447874.39,55196337.9
Total,2028-12-29,12.7459,21748140.83,18099850.28,78493625.92,0.0,27518741.46,55206295.71
Total,2029-03-29,12.9925,21738261.28,17915929.04,77233995.9,0.0,27676998.75,55216211.72
Total,2029-06-29,13.2445,20236306.63,17221171.96,72452063.96,0.0,25928233.14,55227155.03
Total,2029-09-28,13.4938,20272746.9,17088064.85,73200919.19,0.0,26137957.75,55233213.78
Total,2029-12-31,13.7514,19469009.69,16390379.41,71077994.13,0.0,25264462.22,55242956.55
Total,2030-03-29,13.9925,19425820.32,16221294.78,70502796.0,0.0,25361416.24,55249674.95
Total,2030-06-28,14.2418,18085361.77,15417801.14,66298869.35,0.0,23759563.7,55258366.95
Total,2030-09-30,14.4993,17995733.12,15193716.29,65537421.03,0.0,23795115.45,55264051.16
Total,2030-12-31,14.7514,17419781.93,14675948.27,63435814.52,0.0,23179735.67,55270951.02
Total,2031-03-31,14.9979,17391017.03,14514398.72,63151277.11,0.0,23285112.21,55273844.24
Total,2031-06-30,15.2472,16038449.78,13708124.33,58224787.46,0.0,21609242.39,55280464.02
Total,2031-09-30,15.4993,16046433.27,13598688.69,58391430.29,0.0,21757534.65,55287181.27
Total,2031-12-31,15.7514,15301329.69,12925687.74,56415138.24,0.0,20879211.42,55292700.04
Total,2032-03-31,16,15268472.22,12785608.87,56042362.78,0.0,20965473.79,55296052.19
Total,2032-06-30,16.2486,14089330.53,12089715.04,52820170.17,0.0,19468090.15,55303418.39
Total,2032-09-30,16.5,14067645.09,11964383.87,52973536.08,0.0,19561780.46,55303418.39
Total,2032-12-30,16.7486,13443705.5,11413481.79,50723842.31,0.0,18811792.41,55308337.09
Total,2033-03-31,16.9979,13459194.2,11328247.42,50094435.55,0.0,18951954.88,55309210.39
Total,2033-06-30,17.2472,12204488.37,10625400.13,46886251.47,0.0,17293324.47,55309311.3
Total,2033-09-30,17.4993,12155877.48,10478831.88,46416023.98,0.0,17334023.56,55309311.3
Total,2033-12-30,17.7486,11521221.4,9996551.87,44521873.11,0.0,16532394.08,55315530.0
Total,2034-03-31,17.9979,11445449.33,9838370.32,44068469.0,0.0,16526997.12,55316746.9
Total,2034-06-30,18.2472,10375798.37,9226840.22,40398034.4,0.0,15076714.65,55318107.58
Total,2034-09-29,18.4966,10357256.94,9124970.2,40293261.11,0.0,15144460.48,55319591.67
Total,2034-12-29,18.7459,9738977.84,8622739.88,38113250.14,0.0,14330009.57,55327986.27
Total,2035-03-30,18.9952,9675058.56,8500838.44,38514240.8,0.0,14325528.24,55331744.79
Total,2035-06-29,19.2445,8582012.75,7925352.69,34721840.95,0.0,12787050.0,55333304.98
Total,2035-09-28,19.4938,8421185.88,7675999.28,33758170.53,0.0,12626371.09,55333431.41
Total,2035-12-31,19.7514,7930651.8,7215067.31,31743082.02,0.0,11968169.53,55334671.36
Total,2036-03-31,20,7933213.21,7128533.73,31638357.19,0.0,12047361.74,55338170.08
